bay,pH,EC
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
