container,crop,rep,bay,placement,date,time,temp_c,relative_humidity_%,dewpoint,,,,,,,,
FS2,basil,1,207,bottom,20180911,14:10:00,24.6006,58.93,16.0403,,,,,,,,
FS2,basil,1,207,bottom,20180911,14:20:00,25.0082,55.5349,15.493,,,,,,,,
FS2,basil,1,207,bottom,20180911,14:30:00,25.2441,61.0204,17.1932,,,,,,,,
FS2,basil,1,207,bottom,20180911,14:40:00,25.5444,60.082,17.2304,,,,,,,,
FS2,basil,1,207,bottom,20180911,14:50:00,25.5551,55.2679,15.9263,,,,,,,,
FS2,basil,1,207,bottom,20180911,15:00:00,25.4479,55.3594,15.8525,,,,,,,,
FS2,basil,1,207,bottom,20180911,15:10:00,25.287,55.6493,15.7846,,,,,,,,
FS2,basil,1,207,bottom,20180911,15:20:00,25.1798,55.657,15.6869,,,,,,,,
FS2,basil,1,207,bottom,20180911,15:30:00,25.1798,56.2673,15.8575,,,,,,,,
FS2,basil,1,207,bottom,20180911,15:40:00,25.2227,57.2362,16.165,,,,,,,,
FS2,basil,1,207,bottom,20180911,15:50:00,25.0832,57.1218,16.0034,,,,,,,,
FS2,basil,1,207,bottom,20180911,16:00:00,24.9545,57.3888,15.9563,,,,,,,,
FS2,basil,1,207,bottom,20180911,16:10:00,24.7293,57.2896,15.7189,,,,,,,,
FS2,basil,1,207,bottom,20180911,16:20:00,24.547,57.6177,15.6378,,,,,,,,
FS2,basil,1,207,bottom,20180911,16:30:00,24.4826,57.6177,15.5777,,,,,,,,
FS2,basil,1,207,bottom,20180911,16:40:00,24.5255,57.7321,15.6488,,,,,,,,
FS2,basil,1,207,bottom,20180911,16:50:00,24.5792,57.6711,15.6824,,,,,,,,
FS2,basil,1,207,bottom,20180911,17:00:00,24.5255,57.6177,15.6178,,,,,,,,
FS2,basil,1,207,bottom,20180911,17:10:00,24.5041,57.5262,15.5729,,,,,,,,
FS2,basil,1,207,bottom,20180911,17:20:00,24.5363,57.4117,15.5719,,,,,,,,
FS2,basil,1,207,bottom,20180911,17:30:00,24.5684,57.6177,15.6579,,,,,,,,
FS2,basil,1,207,bottom,20180911,17:40:00,24.6006,57.3202,15.607,,,,,,,,
FS2,basil,1,207,bottom,20180911,17:50:00,24.6221,57.2668,15.6125,,,,,,,,
FS2,basil,1,207,bottom,20180911,18:00:00,24.6435,57.2896,15.6388,,,,,,,,
