container,crop,rep,bay,reservoir_size_liters,plant,date,pH,EC,h2o_temp_C,d.o.,plant_height_cm,harvest_fresh_mass_g,harvest_dry_mass_g,PAR_CCT,PAR_CRI (Ra),PAR_DLI,PAR_ä½D (380~780 nm),PAR_ä½p (380~780 nm),PAR_Illuminance,PAR_PPFD (400 - 700 nm),PAR_PPFD B (400 - 499 nm),PAR_PPFD FR (701 - 780 nm),PAR_PPFD G (500 - 599 nm),PAR_PPFD R (600 - 700 nm),PAR_PPFD UV (380 - 399 nm),PAR_R/B,PAR_R/FR,PAR_YPFD (380 - 780 nm),PAR_YPFD (400 - 700 nm),PAR_YPFD B (400 - 499 nm),PAR_YPFD FR (701 - 780 nm),PAR_YPFD G (500 - 599 nm),PAR_YPFD R (600 - 700 nm),PAR_YPFD UV (380 - 399 nm),solution_K_ppmK,solution_Ca_ppmCA,solution_Mg_ppmMg,solution_Na_ppmNa,solution_P_ppmN,solution_S_ppmS,solution_Cl_ppmCl,solution_NH4N_ppmNH4N,solution_NO3N_ppmNO3N,solution_ALK_ppmCaCO3,solution_pH,solution_EC,solution_Urea_ppmurea,solution_Fe_ppm_Fe,solution_Mn_ppmMn,solution_B_ppmB,solution_Cu_ppmCu,solution_Zn_ppmAn,solution_Mo_ppmMo,solution_Al_ppmAl,tissue_N_%,tissue_P_%,tissue_K_%,tissue_Ca_%,tissue_Mg_%,tissue_S_ppm,tissue_Fe_ppm,tissue_Mn_ppm,tissue_B_ppm,tissue_Cu_ppm,tissue_Zn_ppm,tissue_Mo_ppm,tissue_Na_ppm,tissue_Al_ppm
FS2,basil,2,201,75,101,20181029,5.8,2.2,24,NA,13.5,NA,NA,0,0,22.978,0,662,4545,265.94,71.763,5.0467,14.346,179.85,0.2224,2.51,35.64,232.44,231.22,52.502,1.0917,12.664,166.07,0.1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,102,20181029,5.8,2.2,24,NA,21,NA,NA,0,0,36.324,0,663,7290,420.42,114.73,7.9609,23.209,282.51,0.3064,2.46,35.49,367.18,365.26,83.916,1.7279,20.496,260.89,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,103,20181029,5.8,2.2,24,NA,17.5,NA,NA,0,0,33.713,0,662,6715,390.2,109.33,6.9883,21.215,259.67,0.2621,2.38,37.16,340.27,338.62,79.968,1.5026,18.735,239.94,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,104,20181029,5.8,2.2,24,NA,18,NA,NA,0,0,30.986,0,662,6323,358.64,102.19,6.8679,20.677,235.79,0.2469,2.31,34.33,312.41,310.81,74.739,1.4467,18.253,217.85,0.1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,105,20181029,5.8,2.2,24,NA,20.5,NA,NA,0,0,32.874,0,662,6619,380.49,106.29,6.8723,21.336,252.87,0.2405,2.38,36.8,331.75,330.09,77.721,1.5137,18.845,233.55,0.1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,106,20181029,5.8,2.2,24,NA,21,NA,NA,0,0,30.694,0,663,6170,355.25,99.864,6.9821,19.906,235.5,0.3122,2.36,33.73,309.61,307.97,73.013,1.4568,17.576,217.4,0.1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,107,20181029,5.8,2.2,24,NA,24.5,NA,NA,0,0,38.57,0,663,7739,446.41,127.06,8.1252,24.499,294.88,0.3081,2.32,36.29,388.8,386.83,92.961,1.7739,21.639,272.27,0.1826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,108,20181029,5.8,2.2,24,NA,12,NA,NA,0,0,20.858,0,662,4462,241.41,66.334,4.9115,15.408,159.68,0.2069,2.41,32.51,210.84,209.68,48.523,1.0349,13.614,147.56,0.1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,109,20181029,5.8,2.2,24,NA,27,NA,NA,0,0,44.06,0,665,9245,509.95,149.58,10.17,30.261,330.13,0.4054,2.21,32.46,443.19,440.76,109.42,2.1979,26.739,304.64,0.2386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,201,75,110,20181029,5.8,2.2,24,NA,15,NA,NA,0,0,29.233,0,662,6159,338.34,96.608,6.3981,20.886,220.87,0.2661,2.29,34.52,294.66,293.13,70.646,1.3714,18.453,204.06,0.1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
